classe;bmp;nomenclatura;quantidade;data_inclusao;preco_unit;preco_total;estado_material;dano_sofrido;causa_dano;motivo_forca_maior;responsavel_dano;materia_prima_aproveitavel;outros_motivos
7490;951311;Fragmentadora De Papel 100v, Cs200, Marca Menno. (SISPAT: 5785 - FCG: 1504);1;25/04/12;14.82;14.82;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:24/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;1114767;Computador Dell Precision 390 Convertible Minitower, Pc Processor E6600 2,40ghz, 1066, 4mb L2 Dc/Vt.(SISPAT: 1730032 - FCG: 1730 - Nº SÉRIE: CHQDLD1;1;10/05/12;124;124;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:25/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7010;1180952;Microprocessador Marca Kolke, Processador Intel Pentuim 4, 3.0 Ghz, Fsb 800 Ghz, Cachê 0,1 Mb,Módulo De Memória Samsung De 1024 Mb, Ddr 533, Disco Rígido Samsung 80 Gb, Ide 7200 Rpm, Placa Mãe Intel Boxd945gntl, Gabinete Atx 4 Baias Com Ventilação Forçada (SISPAT: 1361002 - FCG: 1361);1;30/05/12;200;200;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:26/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;951519;Monitor 17 Lcd Samsung 740 B (SISPAT: 65701002 - FCG: 65701);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:27/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;951923;Monitor Lcd 17 Samsung 740 B. (SISPAT: 65510021 - FCG: 65510);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:28/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7035;1114583;Monitor Lcd 17 , Marca Lg, Modleo L1753t-Sf. (SISPAT: 1642007 - FCG: 1642 - Nº SÉRIE: 702SPED96988);1;10/05/12;27.5;27.5;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:29/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7035;1118822;Monitor Lcd De 17 Marca Lg, Modelo L1752tq. (SISPAT: 4402028 - FCG: 4402 - Nº SÉRIE: 611SPPBK5648);1;10/05/12;29;29;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:30/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
6720;951118;Câmera Digital Sony Dsc-P 41. (SISPAT: 65625001 - FCG: 65625);1;20/04/12;79.9;79.9;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:31/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
6720;951117;Câmera Digital Sony Dsc-S40 (SISPAT: 65533001 - FCG: 65533);1;20/04/12;100;100;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:32/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
6110;1123338;Estabilizador De Tensão De 1kva, Mod. Ne-1000va, Código 092090, Marca Zandoni. (SISPAT: 4398011 - FCG: 4398);1;10/05/12;2.9;2.9;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:33/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953644;No Break Sms 0,6 Kv Bivolt Marca Sms Manager Iii . (SISPAT: 40225002 - FCG: 40225);1;20/04/12;53.97;53.97;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:34/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953643;No Break Sms 0,6 Kv Bivolt Marca Sms Manager Iii . (SISPAT: 40225001 - FCG: 40225);1;20/04/12;53.97;53.97;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:35/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7010;1833752;Microcomputador Intel Itautec Model: Infoway St4261, Teclado Ps2 Pp Abnt2 E Mouse Óptico. - Nº SÉRIE: L385101900267;1;04/09/17;14.06;14.06;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:36/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952305;Scanner HP 5590c (SISPAT: 66763001 - FCG: 66763);1;20/04/12;99.9;99.9;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:37/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;951926;Monitor Lcd 17 Samsung 740 B. (SISPAT: 65510024 - FCG: 65510);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:38/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953302;Hd Drive Ide 160gb (SISPAT: 65655001 - FCG: 65655);1;20/04/12;14.99;14.99;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:39/ATI/2026;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953127;Hub Marca Encore. (SISPAT: 65632001 - FCG: 65632);1;20/04/12;5.99;5.99;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:40/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952468;Computador 4 Baias Com Fonte, Placa Mae Asus P5kpl-Am Se Com S/V/R, Processador Intel Core 2 Duo E7400 2.8 Ghz, Memoria Kingston 2gb Ddr2/800mhz, Hd Seagate 320gb Sata2 7200rpm, Gravador De Dvd Lg 22x Sata Preto, Placa De Video Pci-Exp Geforce 256mb 7200gs (SISPAT: 66771001 - FCG: 66771);1;20/04/12;109.67;109.67;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:41/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7435;934342;Servidor Dell Pe T300, Service Tag 1txgtl1, Como Mouse Ópitco E Teclado Usb (SISPAT: 2038 - FCG: 340 Nº SÉRIE: 1TXGTL1);1;19/04/12;1404.93;1404.93;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:42/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;951907;Monitor Lcd 17 Samsung 740 B. (SISPAT: 65510005 - FCG: 65510);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:43/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7035;1541531;Impressora Marca Hp;1;14/05/14;100;100;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:44/ATI/2025;Não há;11 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;952113;Monitor Lcd 17 Samsung 740 B. (SISPAT: 65510028 - FCG: 65510);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:45/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;953303;Gaveta Para Hd Externo. (SISPAT: 65656001 - FCG: 65656);1;20/04/12;9.99;9.99;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:46/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
7025;951910;Monitor Lcd 17 Samsung 740 B. (SISPAT: 65510008 - FCG: 65510);1;20/04/12;30;30;Antieconômico;Em virtude do bem encontrar-se inoperante e sem condições de reparo, conforme Laudo Técnico:50/ATI/2025;Não há;13 anos;Não há;Não passível de alienação;"Esta comissão sugere que o material seja descartado, conforme o item 2.14.8.1 do Manual eletrônico de Bens Patrimoniais - RADA-e, letras ""*c"" e *e""."
